name,image_url,review_count,rating,price,type_list,address,link,source
Fédération Française de L'Apéritif,https://media-cdn.tripadvisor.com/media/photo-i/12/36/4b/9f/terrasse.jpg,54,5.0,€€ - €€€,"[""Française""]","2 Rue de Paradis | 2, rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d12157259-Reviews-Federation_Francaise_de_L_Aperitif-Paris_Ile_de_France.html,TripAdvisor
Nanashi,https://media-cdn.tripadvisor.com/media/photo-f/05/3c/e5/e1/pavlova.jpg,147,4.0,€€ - €€€,"[""Japonaise"", ""Asiatique"", ""Fusion"", ""Végétariens bienvenus"", ""Plats sans gluten"", ""Choix végétaliens""]","31 rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d5555950-Reviews-Nanashi-Paris_Ile_de_France.html,TripAdvisor
Pooja Namo,https://media-cdn.tripadvisor.com/media/photo-f/03/44/eb/a1/pooja-restaurant.jpg,183,4.0,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens""]","91 Passage Brady, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d719845-Reviews-Pooja_Namo-Paris_Ile_de_France.html,TripAdvisor
Aux Cedres du Nord,https://media-cdn.tripadvisor.com/media/photo-f/07/9b/b6/32/voici-de-quoi-rassasier.jpg,96,4.5,€€ - €€€,"[""Libanaise"", ""Méditerranéenne"", ""Moyen-Orient"", ""Choix végétaliens"", ""Végétariens bienvenus""]","153 Rue La Fayette, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d1598817-Reviews-Aux_Cedres_du_Nord-Paris_Ile_de_France.html,TripAdvisor
Le Petit Marcel Burger,https://media-cdn.tripadvisor.com/media/photo-s/07/3d/83/01/le-vespa.jpg,46,4.5,€,[],"9 rue de Lancry, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7220747-Reviews-Le_Petit_Marcel_Burger-Paris_Ile_de_France.html,TripAdvisor
YUMMY Asian Food,https://media-cdn.tripadvisor.com/media/photo-i/0d/dd/bd/97/facade.jpg,426,3.5,€,"[""Chinoise"", ""Japonaise"", ""Sushi"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]","8 rue du 8 Mai 1945, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d5787649-Reviews-YUMMY_Asian_Food-Paris_Ile_de_France.html,TripAdvisor
Chiche Houmoussiya,https://media-cdn.tripadvisor.com/media/photo-i/11/14/10/87/houmous-lemonana-pita.jpg,32,4.5,€€ - €€€,"[""Végétariens bienvenus"", ""Choix végétaliens""]","29 Bis Rue du Château d'Eau, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d12992765-Reviews-Chiche-Paris_Ile_de_France.html,TripAdvisor
Le Fil Rouge Café,https://media-cdn.tripadvisor.com/media/photo-f/03/51/be/23/le-fil-rouge-cafe.jpg,232,4.0,€€ - €€€,"[""Américaine""]","3 rue René Boulanger, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d3309204-Reviews-Le_Fil_Rouge_Cafe-Paris_Ile_de_France.html,TripAdvisor
La Dispensa,https://media-cdn.tripadvisor.com/media/photo-f/07/51/40/9d/la-vitrine.jpg,41,4.5,€€ - €€€,"[""Italienne"", ""Méditerranéenne""]","9 rue Taylor, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7649592-Reviews-La_Dispensa-Paris_Ile_de_France.html,TripAdvisor
New Delhi Palace,https://media-cdn.tripadvisor.com/media/photo-f/12/f0/76/87/dishes-presentation.jpg,87,4.0,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus""]","13 Rue de Valenciennes, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d8328239-Reviews-New_Delhi_Palace-Paris_Ile_de_France.html,TripAdvisor
Nous Paradis,https://media-cdn.tripadvisor.com/media/photo-i/0d/6c/8a/3e/nous-bol-boeuf-sauce.jpg,71,4.5,€€ - €€€,"[""Végétariens bienvenus"", ""Plats sans gluten""]","rue de Paradis | 16 rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7990468-Reviews-Nous_Paradis-Paris_Ile_de_France.html,TripAdvisor
Lucky Luciano Pizza,https://media-cdn.tripadvisor.com/media/photo-f/0d/8d/97/ea/facade-lucky-luciano.jpg,283,4.0,€€ - €€€,"[""Italienne"", ""Pizza"", ""Végétariens bienvenus""]","1, Cour des Petites Ecuries, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d3168600-Reviews-Lucky_Luciano_Pizza-Paris_Ile_de_France.html,TripAdvisor
Mamie Burger Faubourg Saint Denis,https://media-cdn.tripadvisor.com/media/photo-f/0b/92/29/61/mamie-burger.jpg,147,4.0,€€ - €€€,"[""Américaine"", ""Européenne"", ""Française"", ""Végétariens bienvenus""]","75 Rue du Faubourg Saint Denis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d10047585-Reviews-Mamie_Burger_Faubourg_Saint_Denis-Paris_Ile_de_France.html,TripAdvisor
Tresor De Kashmir,https://media-cdn.tripadvisor.com/media/photo-f/0a/66/9a/dc/tresor-de-kashmir.jpg,85,4.0,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens""]","6 Passage Brady, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d9451795-Reviews-Tresor_De_Kashmir-Paris_Ile_de_France.html,TripAdvisor
SushiRama,https://media-cdn.tripadvisor.com/media/photo-i/0d/6e/84/12/getlstd-property-photo.jpg,45,4.5,€€ - €€€,"[""Japonaise"", ""Sushi""]","95 Rue du Faubourg Saint Martin, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7619336-Reviews-SushiRama-Paris_Ile_de_France.html,TripAdvisor
Chez LIN,https://media-cdn.tripadvisor.com/media/photo-f/06/79/a6/78/chez-lin.jpg,68,4.5,€,"[""Chinoise"", ""Végétariens bienvenus""]","57 bis rue de Chabrol | 57 bis rue de Chabrol, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d6570874-Reviews-Chez_LIN-Paris_Ile_de_France.html,TripAdvisor
passage de pondichery,https://media-cdn.tripadvisor.com/media/photo-f/04/a8/ba/88/passage-de-pondichery.jpg,124,4.0,€€ - €€€,"[""Indienne"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]","84 Passage Brady, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d785358-Reviews-Passage_de_pondichery-Paris_Ile_de_France.html,TripAdvisor
Da Mimmo,https://media-cdn.tripadvisor.com/media/photo-f/02/ce/ed/46/da-mimmo.jpg,205,4.0,€€ - €€€,"[""Italienne"", ""Méditerranéenne"", ""Européenne"", ""Pizza"", ""Végétariens bienvenus""]","Republique 39 boulevard de Magenta, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d715034-Reviews-Da_Mimmo-Paris_Ile_de_France.html,TripAdvisor
AVESTA RESTAURANT,https://media-cdn.tripadvisor.com/media/photo-i/0f/41/bc/e0/20170512-205734-largejpg.jpg,31,4.5,€,"[""Végétariens bienvenus""]","15 rue d Enghien, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d5850350-Reviews-AVESTA_RESTAURANT-Paris_Ile_de_France.html,TripAdvisor
Ose African Cuisine,https://media-cdn.tripadvisor.com/media/photo-f/08/9f/34/42/ose-african-cuisine.jpg,82,4.0,€,"[""Africaine"", ""Cajun & Créole"", ""Fusion"", ""Cuisine de rue (street food)"", ""Végétariens bienvenus""]","34 Rue du Faubourg Saint Martin, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d8459337-Reviews-Ose_African_Cuisine-Paris_Ile_de_France.html,TripAdvisor
Anatolia Village,https://media-cdn.tripadvisor.com/media/photo-i/10/cb/fe/bc/logo.jpg,20,5.0,€,[],"74 rue du Chateau D Eau, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d12218373-Reviews-Anatolia_Village-Paris_Ile_de_France.html,TripAdvisor
Café foresta,https://media-cdn.tripadvisor.com/media/photo-f/05/b3/e8/b0/foresta-restaurant.jpg,210,3.5,€€ - €€€,"[""Italienne"", ""Pizza"", ""Européenne"", ""Végétariens bienvenus""]","boulevard de magenta, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d3562588-Reviews-Foresta_Restaurant-Paris_Ile_de_France.html,TripAdvisor
Lucien,https://media-cdn.tripadvisor.com/media/photo-f/12/36/d7/65/restaurant.jpg,23,4.5,€€ - €€€,"[""Française""]","8 Rue Lucien Sampaix | Numero de la suite, intersection, place, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d13531600-Reviews-Lucien-Paris_Ile_de_France.html,TripAdvisor
Peonies,https://media-cdn.tripadvisor.com/media/photo-f/10/67/11/84/consommation-sur-place.jpg,42,4.5,€€ - €€€,"[""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]","81 rue du Faubourg Saint Denis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d12229549-Reviews-Peonies-Paris_Ile_de_France.html,TripAdvisor
le Petit Chateau D'eau,https://media-cdn.tripadvisor.com/media/photo-i/08/df/8f/55/facade-d-entree-du-petit.jpg,51,4.5,€€ - €€€,"[""Française"", ""Européenne""]","34 rue du Chateau D Eau, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7140954-Reviews-Le_Petit_Chateau_D_eau-Paris_Ile_de_France.html,TripAdvisor
ms Kiosk,https://media-cdn.tripadvisor.com/media/photo-f/07/d0/de/26/yummy-gluten-free-homemade.jpg,35,4.5,€,"[""polonaise"", ""Café"", ""Internationale"", ""Européenne"", ""Choix végétaliens""]","85 B boulevard de Magenta | dans matrche couvert, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d6781205-Reviews-Ms_Kiosk-Paris_Ile_de_France.html,TripAdvisor
Pont-Neuf- La Frite Francaise,https://media-cdn.tripadvisor.com/media/photo-f/13/42/89/2c/getlstd-property-photo.jpg,30,4.5,€,"[""Française"", ""Cuisine de rue (street food)""]","5, rue de la Fidelité, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d14183792-Reviews-Pont_Neuf_La_Frite_Francaise-Paris_Ile_de_France.html,TripAdvisor
Sheezan,https://media-cdn.tripadvisor.com/media/photo-i/0c/1e/8a/a8/sheezan.jpg,70,4.0,€,"[""Indienne"", ""Pakistanaise"", ""Asiatique"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Halal""]","84 rue du Faubourg Saint Denis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d1331796-Reviews-Sheezan-Paris_Ile_de_France.html,TripAdvisor
