name,reviewCount,price,type_list,rating,source
Ose African Cuisine,82,€,"[""Africaine"", ""Cajun & Créole"", ""Fusion"", ""Cuisine de rue (street food)"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Anatolia Village,20,€,[],5.0,Tripadvisor
Café foresta,208,€€ - €€€,"[""Italienne"", ""Pizza"", ""Européenne"", ""Végétariens bienvenus""]",3.5,Tripadvisor
Lucien,23,€€ - €€€,"[""Française""]",4.5,Tripadvisor
Peonies,42,€€ - €€€,"[""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.5,Tripadvisor
le Petit Chateau D'eau,51,€€ - €€€,"[""Française"", ""Européenne""]",4.5,Tripadvisor
ms Kiosk,35,€,"[""polonaise"", ""Café"", ""Internationale"", ""Européenne"", ""Choix végétaliens""]",4.5,Tripadvisor
Pont-Neuf- La Frite Francaise,29,€,"[""Française"", ""Cuisine de rue (street food)""]",4.5,Tripadvisor
Sheezan,70,€,"[""Indienne"", ""Pakistanaise"", ""Asiatique"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Halal""]",4.0,Tripadvisor
Caffe Botteli,98,€€ - €€€,"[""Européenne"", ""Italienne"", ""Pizza""]",3.5,Tripadvisor
Wakoya,15,€€ - €€€,"[""Japonaise""]",4.5,Tripadvisor
Le Dodo,54,€,[],4.0,Tripadvisor
Natives - Hauteville,16,€€ - €€€,"[""Péruvienne"", ""Sud-américaine"", ""Hawaïenne""]",4.5,Tripadvisor
Smiling Kitchen,25,€€ - €€€,"[""Thaï"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]",5.0,Tripadvisor
O'Breizh,78,€€ - €€€,"[""Française"", ""Saine"", ""Fruits de mer & Poisson"", ""Choix végétaliens""]",4.0,Tripadvisor
Le Bonne Nouvelle,64,€€ - €€€,"[""Italienne"", ""Française"", ""Végétariens bienvenus""]",4.0,Tripadvisor
OUR Kebab Paradis,89,€,"[""Turque""]",3.5,Tripadvisor
MAISON Burger,36,€,[],4.5,Tripadvisor
Restaurant Ella,52,€,"[""Turque"", ""Moyen-Orient"", ""Méditerranéenne"", ""Barbecue/Grillades"", ""Grecque""]",4.0,Tripadvisor
Egg Factory,11,€€ - €€€,"[""Américaine"", ""Restauration rapide"", ""Cuisine de rue (street food)""]",5.0,Tripadvisor
Café de l'Est,401,€€ - €€€,"[""Française"", ""Européenne""]",3.5,Tripadvisor
BULMA Banh mi & Bento Shop,56,€,"[""Vietnamienne""]",4.5,Tripadvisor
Hana Bento,15,€€ - €€€,"[""Végétariens bienvenus""]",4.5,Tripadvisor
Allegra,111,€€ - €€€,"[""Italienne"", ""Pizza"", ""Méditerranéenne""]",3.5,Tripadvisor
Thai street food,23,€,"[""Thaï""]",4.5,Tripadvisor
Pancake Sisters,217,€€ - €€€,"[""Américaine"", ""Saine"", ""Végétariens bienvenus""]",3.5,Tripadvisor
Schmid,44,€,"[""Française""]",4.5,Tripadvisor
John Circus,18,"",[],5.0,Tripadvisor
Sahil,71,€,"[""Indienne"", ""Pakistanaise"", ""Végétariens bienvenus""]",3.5,Tripadvisor
Le Bistrot Lorrain,86,€€ - €€€,"[""Italienne"", ""Européenne"", ""Pizza""]",3.0,Tripadvisor
Tago Mago,17,€€ - €€€,"[""Française"", ""Végétariens bienvenus""]",4.5,Tripadvisor
La Pointe des Almadies,30,€€ - €€€,"[""Africaine""]",3.5,Tripadvisor
Chez Aldo Cafe,96,€€ - €€€,"[""Française"", ""Européenne""]",3.5,Tripadvisor
Onéla,5,€€ - €€€,"[""Italienne"", ""Française"", ""Pizza""]",4.5,Tripadvisor
Station Nord-Est,52,€€ - €€€,"[""Française"", ""Méditerranéenne"", ""Européenne""]",4.0,Tripadvisor
Bollywood Plaza,41,€€ - €€€,"[""Indienne"", ""Asiatique"", ""Végétariens bienvenus""]",3.5,Tripadvisor
Allen's Market,127,€€ - €€€,"[""Américaine"", ""Européenne""]",3.0,Tripadvisor
Amis Gourmands,4,€€ - €€€,"[""Chinoise""]",5.0,Tripadvisor
Sesto Senso,34,€€ - €€€,"[""Italienne""]",3.5,Tripadvisor
La Cocotte Dépote,47,€€ - €€€,"[""Française"", ""Restauration rapide"", ""Traiteur"", ""Cuisine de rue (street food)""]",4.5,Tripadvisor
Hitomi,130,€,"[""Japonaise"", ""Sushi"", ""Asiatique""]",3.0,Tripadvisor
Le Restaurant Marocain,44,€€ - €€€,"[""Marocaine"", ""Méditerranéenne"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Halal""]",3.5,Tripadvisor
McDonald 's Paris Gare du Nord,155,€,"[""Américaine"", ""Restauration rapide""]",3.0,Tripadvisor
Maison des Si Chuan,26,€€ - €€€,"[""Chinoise""]",3.5,Tripadvisor
Quick,46,€,[],3.0,Tripadvisor
Pizza Hut,146,€€ - €€€,"[""Pizza""]",3.0,Tripadvisor
O/hp/e,9,€,"[""Française""]",4.5,Tripadvisor
Au Dixieme,26,€€ - €€€,"[""Française""]",3.0,Tripadvisor
Las Vegans,67,€,"[""Choix végétaliens""]",3.5,Tripadvisor
elma & nar,11,€€ - €€€,"[""Turque""]",4.5,Tripadvisor
BioBowl,3,€€ - €€€,"[""Française"", ""Fusion"", ""Cuisine de rue (street food)"", ""Internationale"", ""Asiatique"", ""Saine""]",4.5,Tripadvisor
